ID,Label,Circuit Name,Qubits,Depth,CNOTs,Total Params,Feature-Bound Params,Variational Params
IQP/LexicalAmbiguity_0,Ambiguity_Man,circuit-523,1,6,0,6,6,0
IQP/LexicalAmbiguity_1,Ambiguity_Man,circuit-525,1,6,0,6,6,0
IQP/LexicalAmbiguity_2,Ambiguity_Man,circuit-527,2,8,0,4,4,0
IQP/LexicalAmbiguity_3,Ambiguity_Man,circuit-529,1,4,0,4,4,0
IQP/LexicalAmbiguity_4,Ambiguity_Man,circuit-531,4,2,0,8,8,0
IQP/LexicalAmbiguity_5,Ambiguity_Man,circuit-533,1,4,0,4,4,0
IQP/LexicalAmbiguity_6,Ambiguity_Man,circuit-535,3,13,0,8,8,0
IQP/LexicalAmbiguity_7,Ambiguity_Man,circuit-537,2,9,0,8,8,0
IQP/LexicalAmbiguity_8,Ambiguity_Man,circuit-539,2,8,0,4,4,0
IQP/LexicalAmbiguity_9,Ambiguity_Man,circuit-541,1,4,0,4,4,0
IQP/LexicalAmbiguity_10,Ambiguity_Leg,circuit-543,1,2,0,2,2,0
IQP/LexicalAmbiguity_11,Ambiguity_Leg,circuit-545,1,4,0,4,4,0
IQP/LexicalAmbiguity_12,Ambiguity_Leg,circuit-547,2,8,0,4,4,0
IQP/LexicalAmbiguity_13,Ambiguity_Leg,circuit-549,5,2,0,10,10,0
IQP/LexicalAmbiguity_15,Ambiguity_Leg,circuit-552,1,2,0,2,2,0
IQP/LexicalAmbiguity_17,Ambiguity_Leg,circuit-555,1,4,0,4,4,0
IQP/LexicalAmbiguity_18,Ambiguity_Leg,circuit-557,3,2,0,6,6,0
IQP/LexicalAmbiguity_19,Ambiguity_Leg,circuit-559,1,4,0,4,4,0
IQP/LexicalAmbiguity_20,Ambiguity_Spring,circuit-561,1,2,0,2,2,0
IQP/LexicalAmbiguity_21,Ambiguity_Eye,circuit-563,3,2,0,6,6,0
IQP/LexicalAmbiguity_22,Ambiguity_Eye,circuit-565,3,2,0,6,6,0
IQP/LexicalAmbiguity_23,Ambiguity_Spring,circuit-567,1,6,0,6,6,0
IQP/LexicalAmbiguity_24,Ambiguity_Eye,circuit-569,3,2,0,6,6,0
IQP/LexicalAmbiguity_25,Ambiguity_Spring,circuit-571,2,8,0,4,4,0
IQP/LexicalAmbiguity_26,Ambiguity_Eye,circuit-573,1,4,0,4,4,0
IQP/LexicalAmbiguity_27,Ambiguity_Spring,circuit-575,7,2,0,14,14,0
IQP/LexicalAmbiguity_28,Ambiguity_Eye,circuit-577,5,2,0,10,10,0
IQP/LexicalAmbiguity_29,Ambiguity_Spring,circuit-579,1,2,0,2,2,0
IQP/LexicalAmbiguity_30,Ambiguity_Camel,circuit-581,4,2,0,8,8,0
IQP/LexicalAmbiguity_31,Ambiguity_Camel,circuit-583,1,4,0,4,4,0
IQP/LexicalAmbiguity_32,Ambiguity_Camel,circuit-585,2,10,0,6,6,0
IQP/LexicalAmbiguity_33,Ambiguity_Camel,circuit-587,2,9,0,8,8,0
IQP/LexicalAmbiguity_34,Ambiguity_Camel,circuit-589,2,8,0,6,6,0
IQP/LexicalAmbiguity_35,Ambiguity_Camel,circuit-591,1,4,0,4,4,0
IQP/LexicalAmbiguity_36,Ambiguity_Camel,circuit-593,1,4,0,4,4,0
IQP/LexicalAmbiguity_37,Ambiguity_Camel,circuit-595,1,4,0,4,4,0
IQP/LexicalAmbiguity_38,Ambiguity_Camel,circuit-597,1,4,0,4,4,0
IQP/LexicalAmbiguity_39,Ambiguity_Camel,circuit-599,2,9,0,8,8,0
IQP/LexicalAmbiguity_40,Ambiguity_Sentences,circuit-601,2,10,0,6,6,0
IQP/LexicalAmbiguity_41,Ambiguity_Sentences,circuit-603,1,4,0,4,4,0
IQP/LexicalAmbiguity_42,Ambiguity_Sentences,circuit-605,1,4,0,4,4,0
IQP/LexicalAmbiguity_43,Ambiguity_Sentences,circuit-607,2,10,0,6,6,0
IQP/LexicalAmbiguity_44,Ambiguity_Sentences,circuit-609,1,4,0,4,4,0
IQP/LexicalAmbiguity_45,Ambiguity_Sentences,circuit-611,2,10,0,6,6,0
IQP/LexicalAmbiguity_46,Ambiguity_Sentences,circuit-613,2,11,0,10,10,0
IQP/LexicalAmbiguity_47,Ambiguity_Sentences,circuit-615,1,4,0,4,4,0
IQP/LexicalAmbiguity_48,Ambiguity_Sentences,circuit-617,3,13,0,8,8,0
IQP/LexicalAmbiguity_49,Ambiguity_Sentences,circuit-619,2,10,0,8,8,0
IQP/LexicalAmbiguity_50,Ambiguity_Flag,circuit-621,2,9,0,8,8,0
IQP/LexicalAmbiguity_52,Ambiguity_Flag,circuit-624,2,9,0,8,8,0
IQP/LexicalAmbiguity_55,Ambiguity_Flag,circuit-628,1,4,0,4,4,0
IQP/LexicalAmbiguity_56,Ambiguity_Flag,circuit-630,1,2,0,2,2,0
IQP/LexicalAmbiguity_57,Ambiguity_Flag,circuit-632,3,2,0,6,6,0
IQP/LexicalAmbiguity_58,Ambiguity_Flag,circuit-634,2,8,0,6,6,0
IQP/LexicalAmbiguity_59,Ambiguity_Flag,circuit-636,2,9,0,8,8,0
IQP/LexicalAmbiguity_60,Ambiguity_Knowledge,circuit-638,3,15,0,10,10,0
IQP/LexicalAmbiguity_61,Ambiguity_Knowledge,circuit-640,5,2,0,10,10,0
IQP/LexicalAmbiguity_62,Ambiguity_Knowledge,circuit-642,2,9,0,8,8,0
IQP/LexicalAmbiguity_63,Ambiguity_Knowledge,circuit-644,1,4,0,4,4,0
IQP/LexicalAmbiguity_64,Ambiguity_Knowledge,circuit-646,2,8,0,6,6,0
IQP/LexicalAmbiguity_65,Ambiguity_Knowledge,circuit-648,3,13,0,10,10,0
IQP/LexicalAmbiguity_66,Ambiguity_Knowledge,circuit-650,5,2,0,10,10,0
IQP/LexicalAmbiguity_67,Ambiguity_Knowledge,circuit-652,1,6,0,6,6,0
IQP/LexicalAmbiguity_68,Ambiguity_Knowledge,circuit-654,4,2,0,8,8,0
IQP/LexicalAmbiguity_69,Ambiguity_Knowledge,circuit-656,1,4,0,4,4,0
IQP/LexicalAmbiguity_70,Ambiguity_King,circuit-658,3,2,0,6,6,0
IQP/LexicalAmbiguity_71,Ambiguity_King,circuit-660,1,4,0,4,4,0
IQP/LexicalAmbiguity_72,Ambiguity_King,circuit-662,1,4,0,4,4,0
IQP/LexicalAmbiguity_73,Ambiguity_King,circuit-664,1,4,0,4,4,0
IQP/LexicalAmbiguity_74,Ambiguity_King,circuit-666,1,4,0,4,4,0
IQP/LexicalAmbiguity_75,Ambiguity_King,circuit-668,2,9,0,8,8,0
IQP/LexicalAmbiguity_76,Ambiguity_King,circuit-670,2,9,0,8,8,0
IQP/LexicalAmbiguity_77,Ambiguity_King,circuit-672,1,4,0,4,4,0
IQP/LexicalAmbiguity_78,Ambiguity_King,circuit-674,1,4,0,4,4,0
IQP/LexicalAmbiguity_79,Ambiguity_King,circuit-676,1,4,0,4,4,0
IQP/LexicalAmbiguity_86,Ambiguity_Possess,circuit-684,1,4,0,4,4,0
IQP/LexicalAmbiguity_90,Ambiguity_Hit,circuit-689,1,4,0,4,4,0
IQP/LexicalAmbiguity_91,Ambiguity_Hit,circuit-691,1,4,0,4,4,0
IQP/LexicalAmbiguity_92,Ambiguity_Hit,circuit-693,1,4,0,4,4,0
IQP/LexicalAmbiguity_93,Ambiguity_Hit,circuit-695,1,6,0,6,6,0
IQP/LexicalAmbiguity_94,Ambiguity_Hit,circuit-697,1,4,0,4,4,0
IQP/LexicalAmbiguity_95,Ambiguity_Hit,circuit-699,2,9,0,8,8,0
IQP/LexicalAmbiguity_96,Ambiguity_Hit,circuit-701,2,8,0,6,6,0
IQP/LexicalAmbiguity_97,Ambiguity_Hit,circuit-703,2,9,0,8,8,0
IQP/LexicalAmbiguity_98,Ambiguity_Hit,circuit-705,1,4,0,4,4,0
IQP/LexicalAmbiguity_99,Ambiguity_Hit,circuit-707,1,4,0,4,4,0
IQP/LexicalAmbiguity_100,Ambiguity_Multiply,circuit-709,2,8,0,4,4,0
IQP/LexicalAmbiguity_101,Ambiguity_Multiply,circuit-711,1,2,0,2,2,0
IQP/LexicalAmbiguity_102,Ambiguity_Multiply,circuit-713,1,4,0,4,4,0
IQP/LexicalAmbiguity_103,Ambiguity_Multiply,circuit-715,4,2,0,8,8,0
IQP/LexicalAmbiguity_104,Ambiguity_Multiply,circuit-717,2,9,0,8,8,0
IQP/LexicalAmbiguity_105,Ambiguity_Multiply,circuit-719,2,8,0,4,4,0
IQP/LexicalAmbiguity_106,Ambiguity_Multiply,circuit-721,1,4,0,4,4,0
IQP/LexicalAmbiguity_107,Ambiguity_Multiply,circuit-723,3,13,0,10,10,0
IQP/LexicalAmbiguity_108,Ambiguity_Multiply,circuit-725,2,9,0,8,8,0
IQP/LexicalAmbiguity_109,Ambiguity_Multiply,circuit-727,1,4,0,4,4,0
IQP/LexicalAmbiguity_110,Ambiguity_Open,circuit-729,2,8,0,6,6,0
IQP/LexicalAmbiguity_111,Ambiguity_Open,circuit-731,2,9,0,8,8,0
IQP/LexicalAmbiguity_112,Ambiguity_Open,circuit-733,2,9,0,8,8,0
IQP/LexicalAmbiguity_113,Ambiguity_Open,circuit-735,2,9,0,8,8,0
IQP/LexicalAmbiguity_114,Ambiguity_Open,circuit-737,3,14,0,10,10,0
IQP/LexicalAmbiguity_115,Ambiguity_Conquer,circuit-739,1,4,0,4,4,0
IQP/LexicalAmbiguity_116,Ambiguity_Conquer,circuit-741,1,4,0,4,4,0
IQP/LexicalAmbiguity_117,Ambiguity_Conquer,circuit-743,1,4,0,4,4,0
IQP/LexicalAmbiguity_118,Ambiguity_Conquer,circuit-745,1,4,0,4,4,0
IQP/LexicalAmbiguity_119,Ambiguity_Conquer,circuit-747,1,4,0,4,4,0
IQP/LexicalAmbiguity_120,Ambiguity_Open,circuit-749,1,4,0,4,4,0
IQP/LexicalAmbiguity_121,Ambiguity_Open,circuit-751,1,4,0,4,4,0
IQP/LexicalAmbiguity_122,Ambiguity_Open,circuit-753,1,4,0,4,4,0
IQP/LexicalAmbiguity_123,Ambiguity_Open,circuit-755,1,4,0,4,4,0
IQP/LexicalAmbiguity_124,Ambiguity_Open,circuit-757,3,14,0,10,10,0
StronglyEntangling/LexicalAmbiguity_0,Ambiguity_Man,circuit-22439,1,6,0,6,6,0
StronglyEntangling/LexicalAmbiguity_1,Ambiguity_Man,circuit-22441,1,6,0,6,6,0
StronglyEntangling/LexicalAmbiguity_2,Ambiguity_Man,circuit-22443,2,6,0,3,3,0
StronglyEntangling/LexicalAmbiguity_3,Ambiguity_Man,circuit-22445,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_4,Ambiguity_Man,circuit-22447,4,2,0,8,8,0
StronglyEntangling/LexicalAmbiguity_5,Ambiguity_Man,circuit-22449,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_6,Ambiguity_Man,circuit-22451,3,9,0,6,6,0
StronglyEntangling/LexicalAmbiguity_7,Ambiguity_Man,circuit-22453,2,7,0,7,7,0
StronglyEntangling/LexicalAmbiguity_8,Ambiguity_Man,circuit-22455,2,6,0,3,3,0
StronglyEntangling/LexicalAmbiguity_9,Ambiguity_Man,circuit-22457,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_10,Ambiguity_Leg,circuit-22459,1,2,0,2,2,0
StronglyEntangling/LexicalAmbiguity_11,Ambiguity_Leg,circuit-22461,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_12,Ambiguity_Leg,circuit-22463,2,6,0,3,3,0
StronglyEntangling/LexicalAmbiguity_13,Ambiguity_Leg,circuit-22465,5,2,0,10,10,0
StronglyEntangling/LexicalAmbiguity_15,Ambiguity_Leg,circuit-22468,1,2,0,2,2,0
StronglyEntangling/LexicalAmbiguity_17,Ambiguity_Leg,circuit-22471,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_18,Ambiguity_Leg,circuit-22473,3,2,0,6,6,0
StronglyEntangling/LexicalAmbiguity_19,Ambiguity_Leg,circuit-22475,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_20,Ambiguity_Spring,circuit-22477,1,2,0,2,2,0
StronglyEntangling/LexicalAmbiguity_21,Ambiguity_Eye,circuit-22479,3,2,0,6,6,0
StronglyEntangling/LexicalAmbiguity_22,Ambiguity_Eye,circuit-22481,3,2,0,6,6,0
StronglyEntangling/LexicalAmbiguity_23,Ambiguity_Spring,circuit-22483,1,6,0,6,6,0
StronglyEntangling/LexicalAmbiguity_24,Ambiguity_Eye,circuit-22485,3,2,0,6,6,0
StronglyEntangling/LexicalAmbiguity_25,Ambiguity_Spring,circuit-22487,2,6,0,3,3,0
StronglyEntangling/LexicalAmbiguity_26,Ambiguity_Eye,circuit-22489,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_27,Ambiguity_Spring,circuit-22491,7,2,0,14,14,0
StronglyEntangling/LexicalAmbiguity_28,Ambiguity_Eye,circuit-22493,5,2,0,10,10,0
StronglyEntangling/LexicalAmbiguity_29,Ambiguity_Spring,circuit-22495,1,2,0,2,2,0
StronglyEntangling/LexicalAmbiguity_30,Ambiguity_Camel,circuit-22497,4,2,0,8,8,0
StronglyEntangling/LexicalAmbiguity_31,Ambiguity_Camel,circuit-22499,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_32,Ambiguity_Camel,circuit-22501,2,8,0,5,5,0
StronglyEntangling/LexicalAmbiguity_33,Ambiguity_Camel,circuit-22503,2,7,0,7,7,0
StronglyEntangling/LexicalAmbiguity_34,Ambiguity_Camel,circuit-22505,2,6,0,5,5,0
StronglyEntangling/LexicalAmbiguity_35,Ambiguity_Camel,circuit-22507,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_36,Ambiguity_Camel,circuit-22509,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_37,Ambiguity_Camel,circuit-22511,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_38,Ambiguity_Camel,circuit-22513,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_39,Ambiguity_Camel,circuit-22515,2,7,0,7,7,0
StronglyEntangling/LexicalAmbiguity_40,Ambiguity_Sentences,circuit-22517,2,8,0,5,5,0
StronglyEntangling/LexicalAmbiguity_41,Ambiguity_Sentences,circuit-22519,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_42,Ambiguity_Sentences,circuit-22521,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_43,Ambiguity_Sentences,circuit-22523,2,8,0,5,5,0
StronglyEntangling/LexicalAmbiguity_44,Ambiguity_Sentences,circuit-22525,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_45,Ambiguity_Sentences,circuit-22527,2,8,0,5,5,0
StronglyEntangling/LexicalAmbiguity_46,Ambiguity_Sentences,circuit-22529,2,9,0,9,9,0
StronglyEntangling/LexicalAmbiguity_47,Ambiguity_Sentences,circuit-22531,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_48,Ambiguity_Sentences,circuit-22533,3,9,0,6,6,0
StronglyEntangling/LexicalAmbiguity_49,Ambiguity_Sentences,circuit-22535,2,8,0,7,7,0
StronglyEntangling/LexicalAmbiguity_50,Ambiguity_Flag,circuit-22537,2,7,0,7,7,0
StronglyEntangling/LexicalAmbiguity_52,Ambiguity_Flag,circuit-22540,2,7,0,7,7,0
StronglyEntangling/LexicalAmbiguity_55,Ambiguity_Flag,circuit-22544,1,4,0,4,4,0
StronglyEntangling/LexicalAmbiguity_56,Ambiguity_Flag,circuit-22546,1,2,0,2,2,0
StronglyEntangling/LexicalAmbiguity_57,Ambiguity_Flag,circuit-22548,3,2,0,6,6,0
StronglyEntangling/LexicalAmbiguity_58,Ambiguity_Flag,circuit-22550,2,6,0,5,5,0
StronglyEntangling/LexicalAmbiguity_59,Ambiguity_Flag,circuit-22552,2,7,0,7,7,0
StronglyEntangling/LexicalAmbiguity_60,Ambiguity_Knowledge,circuit-22554,3,11,0,8,8,0
StronglyEntangling/LexicalAmbiguity_61,Ambiguity_Knowledge,circuit-22556,5,2,0,10,10,0
StronglyEntangling/LexicalAmbiguity_62,Ambiguity_Knowledge,circuit-22558,2,7,0,7,7,0
